10;0001319113;02;00401;04;122;0002;0001;    ;319113;1,00;
11;0001319113;100;1,00;
10;0001339197;02;00401;04;122;0002;0001;    ;339197;1450000,00;
11;0001339197;100;1450000,00;
10;0002329021;02;00301;04;123;0057;0002;    ;329021;1,00;
11;0002329021;100;1,00;
10;0002329022;02;00301;04;123;0057;0002;    ;329022;1,00;
11;0002329022;100;1,00;
10;0002329121;02;00301;04;123;0057;0002;    ;329121;320000,00;
11;0002329121;100;320000,00;
10;0002469071;02;00301;04;123;0057;0002;    ;469071;710000,00;
11;0002469071;100;710000,00;
10;0002469077;02;00301;04;123;0057;0002;    ;469077;1,00;
11;0002469077;100;1,00;
10;0002469171;02;00301;04;123;0057;0002;    ;469171;310000,00;
11;0002469171;100;310000,00;
10;0009999999;02;09999;99;999;9999;0009;    ;999999;230000,00;
11;0009999999;100;230000,00;
10;1001339030;02;01001;27;812;0003;1001;    ;339030;1000,00;
11;1001339030;100;1000,00;
10;1001339036;02;01001;27;812;0003;1001;    ;339036;1000,00;
11;1001339036;100;1000,00;
10;1001339039;02;01001;27;812;0003;1001;    ;339039;70001,00;
11;1001339039;100;70000,00;
11;1001339039;124;1,00;
10;1001339093;02;01001;27;812;0003;1001;    ;339093;1,00;
11;1001339093;124;1,00;
10;1001449051;02;01001;27;812;0003;1001;    ;449051;90001,00;
11;1001449051;100;1,00;
11;1001449051;124;90000,00;
10;1001449052;02;01001;27;812;0003;1001;    ;449052;2,00;
11;1001449052;124;1,00;
11;1001449052;100;1,00;
10;1002337170;02;01101;18;452;0005;1002;    ;337170;10000,00;
11;1002337170;100;10000,00;
10;1006339030;02;00501;13;392;0015;1006;    ;339030;1000,00;
11;1006339030;100;1000,00;
10;1006339036;02;00501;13;392;0015;1006;    ;339036;5000,00;
11;1006339036;100;5000,00;
10;1006339039;02;00501;13;392;0015;1006;    ;339039;2000,00;
11;1006339039;100;2000,00;
10;1007339030;02;00502;13;392;0019;1007;    ;339030;300,00;
11;1007339030;100;300,00;
10;1007339036;02;00502;13;392;0019;1007;    ;339036;3000,00;
11;1007339036;100;3000,00;
10;1007339039;02;00502;13;392;0019;1007;    ;339039;1001,00;
11;1007339039;100;1000,00;
11;1007339039;124;1,00;
10;1010339030;02;00702;08;244;0023;1010;    ;339030;9000,00;
11;1010339030;156;4000,00;
11;1010339030;100;5000,00;
10;1010339032;02;00702;08;244;0023;1010;    ;339032;44000,00;
11;1010339032;156;44000,00;
10;1010339036;02;00702;08;244;0023;1010;    ;339036;26000,00;
11;1010339036;100;5000,00;
11;1010339036;156;21000,00;
10;1010339039;02;00702;08;244;0023;1010;    ;339039;1,00;
11;1010339039;156;1,00;
10;1010339048;02;00702;08;244;0023;1010;    ;339048;12000,00;
11;1010339048;156;12000,00;
10;1012339030;02;00901;12;365;0025;1012;    ;339030;8097,00;
11;1012339030;147;1,00;
11;1012339030;101;7500,00;
11;1012339030;100;596,00;
10;1012339036;02;00901;12;365;0025;1012;    ;339036;7585,79;
11;1012339036;101;7583,79;
11;1012339036;100;1,00;
11;1012339036;147;1,00;
10;1012339039;02;00901;12;365;0025;1012;    ;339039;650397,00;
11;1012339039;100;1,00;
11;1012339039;101;300000,00;
11;1012339039;146;250099,00;
11;1012339039;147;100297,00;
10;1012449051;02;00901;12;365;0025;1012;    ;449051;300002,00;
11;1012449051;100;1,00;
11;1012449051;101;100000,00;
11;1012449051;146;1,00;
11;1012449051;147;200000,00;
10;1012449052;02;00901;12;365;0025;1012;    ;449052;70002,00;
11;1012449052;101;70000,00;
11;1012449052;100;1,00;
11;1012449052;147;1,00;
10;1013339030;02;00901;12;365;0026;1013;    ;339030;10695,00;
11;1013339030;100;496,00;
11;1013339030;101;10198,00;
11;1013339030;147;1,00;
10;1013339036;02;00901;12;365;0026;1013;    ;339036;3,00;
11;1013339036;147;1,00;
11;1013339036;101;1,00;
11;1013339036;100;1,00;
10;1013339039;02;00901;12;365;0026;1013;    ;339039;250298,00;
11;1013339039;101;150000,00;
11;1013339039;147;100297,00;
11;1013339039;100;1,00;
10;1013449051;02;00901;12;365;0026;1013;    ;449051;213001,00;
11;1013449051;100;1,00;
11;1013449051;147;200000,00;
11;1013449051;101;13000,00;
10;1013449052;02;00901;12;365;0026;1013;    ;449052;3,00;
11;1013449052;147;1,00;
11;1013449052;101;1,00;
11;1013449052;100;1,00;
10;1014339030;02;00901;12;361;0027;1014;    ;339030;5003,00;
11;1014339030;146;1,00;
11;1014339030;147;1,00;
11;1014339030;100;1,00;
11;1014339030;101;5000,00;
10;1014339036;02;00901;12;361;0027;1014;    ;339036;5002,00;
11;1014339036;147;1,00;
11;1014339036;100;1,00;
11;1014339036;101;5000,00;
10;1014339039;02;00901;12;361;0027;1014;    ;339039;420794,00;
11;1014339039;100;496,00;
11;1014339039;101;320000,00;
11;1014339039;146;1,00;
11;1014339039;147;100297,00;
10;1014449051;02;00901;12;361;0027;1014;    ;449051;200002,00;
11;1014449051;101;100000,00;
11;1014449051;100;1,00;
11;1014449051;147;100000,00;
11;1014449051;146;1,00;
10;1014449052;02;00901;12;361;0027;1014;    ;449052;500299,00;
11;1014449052;147;1,00;
11;1014449052;100;1,00;
11;1014449052;146;300297,00;
11;1014449052;101;200000,00;
10;1024339030;02;00801;15;451;0039;1024;    ;339030;1000,00;
11;1024339030;100;1000,00;
10;1024339036;02;00801;15;451;0039;1024;    ;339036;3000,00;
11;1024339036;100;3000,00;
10;1024339039;02;00801;15;451;0039;1024;    ;339039;10000,00;
11;1024339039;100;10000,00;
10;1024449051;02;00801;15;451;0039;1024;    ;449051;1,00;
11;1024449051;100;1,00;
10;1024449052;02;00801;15;451;0039;1024;    ;449052;10000,00;
11;1024449052;100;10000,00;
10;1028449051;02;00901;12;365;0025;1028;    ;449051;500200,00;
11;1028449051;147;100,00;
11;1028449051;146;500000,00;
11;1028449051;101;100,00;
10;1031339030;02;01402;10;301;0045;1031;    ;339030;2,00;
11;1031339030;148;1,00;
11;1031339030;102;1,00;
10;1031339036;02;01402;10;301;0045;1031;    ;339036;2,00;
11;1031339036;102;1,00;
11;1031339036;148;1,00;
10;1031339039;02;01402;10;301;0045;1031;    ;339039;599,00;
11;1031339039;148;598,00;
11;1031339039;102;1,00;
10;1031339093;02;01402;10;301;0045;1031;    ;339093;1,00;
11;1031339093;102;1,00;
10;1031449051;02;01402;10;301;0045;1031;    ;449051;737396,00;
11;1031449051;102;225396,00;
11;1031449051;153;512000,00;
10;1032339030;02;01402;10;302;0045;1032;    ;339030;2,00;
11;1032339030;149;1,00;
11;1032339030;102;1,00;
10;1032339036;02;01402;10;302;0045;1032;    ;339036;2,00;
11;1032339036;149;1,00;
11;1032339036;102;1,00;
10;1032339039;02;01402;10;302;0045;1032;    ;339039;497,00;
11;1032339039;102;1,00;
11;1032339039;149;496,00;
10;1032339093;02;01402;10;302;0045;1032;    ;339093;2,00;
11;1032339093;102;1,00;
11;1032339093;149;1,00;
10;1032449051;02;01402;10;302;0045;1032;    ;449051;497,00;
11;1032449051;149;1,00;
11;1032449051;102;496,00;
10;1033319004;02;01402;10;303;0045;1033;    ;319004;1,00;
11;1033319004;123;1,00;
10;1033319011;02;01402;10;303;0045;1033;    ;319011;35297,00;
11;1033319011;123;35297,00;
10;1033339030;02;01402;10;303;0045;1033;    ;339030;199,00;
11;1033339030;102;199,00;
10;1033339039;02;01402;10;303;0045;1033;    ;339039;1,00;
11;1033339039;102;1,00;
10;1033339093;02;01402;10;303;0045;1033;    ;339093;1,00;
11;1033339093;123;1,00;
10;1033449051;02;01402;10;303;0045;1033;    ;449051;1,00;
11;1033449051;123;1,00;
10;1046339039;02;00401;04;122;0056;1046;    ;339039;1,00;
11;1046339039;100;1,00;
10;1054339030;02;01201;15;451;0078;1054;    ;339030;1,00;
11;1054339030;100;1,00;
10;1054339039;02;01201;15;451;0078;1054;    ;339039;2,00;
11;1054339039;100;1,00;
11;1054339039;124;1,00;
10;1054449051;02;01201;15;451;0078;1054;    ;449051;50001,00;
11;1054449051;100;50000,00;
11;1054449051;124;1,00;
10;1056449051;02;00901;12;361;0027;1056;    ;449051;930300,00;
11;1056449051;147;100,00;
11;1056449051;101;100,00;
11;1056449051;100;100,00;
11;1056449051;146;930000,00;
10;1059335041;02;01402;10;302;0045;1059;    ;335041;1,00;
11;1059335041;102;1,00;
10;1059339039;02;01402;10;302;0045;1059;    ;339039;1,00;
11;1059339039;102;1,00;
10;1059449051;02;01402;10;302;0045;1059;    ;449051;800297,00;
11;1059449051;192;470000,00;
11;1059449051;102;330297,00;
10;1059449052;02;01402;10;302;0045;1059;    ;449052;101,00;
11;1059449052;155;100,00;
11;1059449052;102;1,00;
10;2001319004;02;00201;04;122;0002;2001;    ;319004;1,00;
11;2001319004;100;1,00;
10;2001319011;02;00201;04;122;0002;2001;    ;319011;618000,00;
11;2001319011;100;618000,00;
10;2001319016;02;00201;04;122;0002;2001;    ;319016;1,00;
11;2001319016;100;1,00;
10;2001339008;02;00201;04;122;0002;2001;    ;339008;1300,00;
11;2001339008;100;1300,00;
10;2001339046;02;00201;04;122;0002;2001;    ;339046;3000,00;
11;2001339046;100;3000,00;
10;2001339093;02;00201;04;122;0002;2001;    ;339093;1,00;
11;2001339093;100;1,00;
10;2002335041;02;00201;04;122;0002;2002;    ;335041;20000,00;
11;2002335041;100;20000,00;
10;2002339014;02;00201;04;122;0002;2002;    ;339014;500,00;
11;2002339014;100;500,00;
10;2002339030;02;00201;04;122;0002;2002;    ;339030;500,00;
11;2002339030;100;500,00;
10;2002339033;02;00201;04;122;0002;2002;    ;339033;1000,00;
11;2002339033;100;1000,00;
10;2002339036;02;00201;04;122;0002;2002;    ;339036;1,00;
11;2002339036;100;1,00;
10;2002339039;02;00201;04;122;0002;2002;    ;339039;200000,00;
11;2002339039;100;200000,00;
10;2002339092;02;00201;04;122;0002;2002;    ;339092;1,00;
11;2002339092;100;1,00;
10;2002339093;02;00201;04;122;0002;2002;    ;339093;1,00;
11;2002339093;100;1,00;
10;2002449052;02;00201;04;122;0002;2002;    ;449052;1,00;
11;2002449052;100;1,00;
10;2004335041;02;01001;27;813;0003;2004;    ;335041;50000,00;
11;2004335041;100;50000,00;
10;2004335043;02;01001;27;813;0003;2004;    ;335043;1,00;
11;2004335043;100;1,00;
10;2004339030;02;01001;27;813;0003;2004;    ;339030;6000,00;
11;2004339030;100;6000,00;
10;2004339031;02;01001;27;813;0003;2004;    ;339031;40000,00;
11;2004339031;100;40000,00;
10;2004339036;02;01001;27;813;0003;2004;    ;339036;1,00;
11;2004339036;100;1,00;
10;2004339039;02;01001;27;813;0003;2004;    ;339039;2,00;
11;2004339039;124;1,00;
11;2004339039;100;1,00;
10;2006339030;02;01001;27;812;0003;2006;    ;339030;8000,00;
11;2006339030;100;8000,00;
10;2006339036;02;01001;27;812;0003;2006;    ;339036;1,00;
11;2006339036;100;1,00;
10;2006339039;02;01001;27;812;0003;2006;    ;339039;1,00;
11;2006339039;100;1,00;
10;2008339036;02;01001;27;811;0003;2008;    ;339036;30000,00;
11;2008339036;100;30000,00;
